iter	Passed	Remaining
402	10046	64743
403	10071	64718
404	10097	64697
405	10121	64670
406	10147	64649
407	10172	64624
408	10195	64587
409	10220	64566
410	10244	64529
411	10267	64498
412	10292	64470
413	10316	64443
414	10342	64420
415	10368	64401
416	10393	64382
417	10418	64353
418	10444	64336
419	10469	64310
420	10494	64286
421	10519	64260
422	10545	64247
423	10569	64213
424	10596	64199
425	10619	64166
426	10646	64150
427	10670	64122
428	10696	64103
429	10722	64084
430	10747	64060
431	10774	64049
432	10800	64031
433	10825	64007
434	10850	63982
435	10874	63951
436	10901	63936
437	10926	63914
438	10954	63903
439	10981	63890
440	11010	63892
441	11038	63880
442	11063	63857
443	11087	63828
444	11111	63794
445	11138	63784
446	11163	63756
447	11186	63724
448	11213	63707
449	11237	63681
450	11263	63660
451	11288	63633
452	11312	63603
453	11339	63591
454	11364	63565
455	11389	63539
456	11414	63514
457	11437	63482
458	11463	63460
459	11488	63437
460	11515	63421
461	11540	63397
462	11563	63364
463	11588	63336
464	11614	63315
465	11638	63287
466	11662	63256
467	11686	63227
468	11710	63196
469	11734	63166
470	11758	63134
471	11782	63103
472	11805	63070
473	11829	63043
474	11853	63008
475	11878	62985
476	11903	62958
477	11928	62937
478	11954	62914
479	11976	62878
480	12000	62847
481	12025	62823
482	12050	62796
483	12075	62773
484	12101	62751
485	12125	62721
486	12151	62703
487	12177	62682
488	12201	62655
489	12226	62629
490	12250	62599
491	12274	62569
492	12298	62541
493	12323	62514
494	12348	62489
495	12371	62457
496	12395	62428
497	12419	62397
498	12444	62373
499	12469	62347
500	12493	62319
501	12518	62294
502	12543	62266
503	12570	62253
504	12596	62231
505	12622	62212
506	12647	62188
507	12671	62159
508	12695	62131
509	12719	62101
510	12743	62069
511	12768	62046
512	12793	62020
513	12816	61986
514	12839	61954
515	12865	61935
516	12893	61921
517	12920	61907
518	12946	61891
519	12971	61865
520	12995	61836
521	13019	61803
522	13043	61776
523	13068	61752
524	13095	61734
525	13121	61714
526	13146	61692
527	13169	61658
528	13195	61636
529	13219	61610
530	13245	61590
531	13269	61559
532	13303	61575
533	13325	61537
534	13349	61507
535	13373	61479
536	13397	61450
537	13422	61422
538	13446	61395
539	13468	61356
540	13494	61337
541	13520	61314
542	13544	61288
543	13569	61260
544	13594	61235
545	13619	61214
546	13645	61194
547	13669	61164
548	13694	61136
549	13719	61114
550	13744	61090
551	13770	61068
552	13796	61047
553	13820	61019
554	13845	60996
555	13869	60964
556	13895	60946
557	13921	60926
558	13947	60905
559	13973	60886
560	13997	60855
561	14022	60830
562	14045	60798
563	14072	60779
564	14096	60752
565	14123	60736
566	14148	60712
567	14173	60685
568	14198	60663
569	14223	60634
570	14246	60603
571	14274	60590
572	14299	60567
573	14324	60543
574	14349	60516
575	14375	60496
576	14401	60477
577	14425	60448
578	14450	60423
579	14474	60392
580	14497	60361
581	14522	60334
582	14545	60304
583	14570	60278
584	14594	60250
585	14619	60224
586	14643	60194
587	14667	60168
588	14691	60138
589	14715	60108
590	14739	60078
591	14762	60046
592	14786	60020
593	14811	59992
594	14835	59965
595	14859	59935
596	14886	59918
597	14910	59892
598	14934	59864
599	14958	59835
600	14981	59803
601	15006	59777
602	15032	59755
603	15056	59727
604	15079	59696
605	15103	59666
606	15127	59638
607	15152	59613
608	15176	59585
609	15200	59557
610	15225	59529
611	15248	59500
612	15273	59475
613	15297	59445
614	15319	59410
615	15343	59379
616	15366	59347
617	15388	59312
618	15411	59281
619	15435	59251
620	15457	59216
621	15481	59188
622	15507	59166
623	15529	59133
624	15553	59104
625	15577	59076
626	15603	59054
627	15626	59022
628	15650	58994
629	15674	58964
630	15696	58931
631	15719	58898
632	15743	58870
633	15767	58843
634	15791	58812
635	15814	58783
636	15839	58757
637	15863	58731
638	15889	58708
639	15913	58680
640	15937	58654
641	15963	58634
642	15987	58603
643	16011	58574
644	16032	58536
645	16055	58505
646	16079	58477
647	16102	58446
648	16125	58413
649	16148	58383
650	16171	58350
651	16197	58329
652	16219	58296
653	16242	58265
654	16267	58241
655	16291	58213
656	16316	58188
657	16339	58157
658	16364	58132
659	16388	58105
660	16413	58078
661	16437	58052
662	16462	58029
663	16487	58002
664	16511	57974
665	16535	57947
666	16558	57918
667	16583	57893
668	16607	57866
669	16631	57837
670	16655	57811
671	16679	57782
672	16704	57758
673	16727	57728
674	16752	57701
675	16776	57675
676	16797	57638
677	16820	57608
678	16848	57591
679	16873	57568
680	16900	57550
681	16925	57525
682	16950	57503
683	16977	57485
684	17001	57459
685	17026	57432
686	17049	57403
687	17073	57374
688	17097	57347
689	17123	57325
690	17146	57295
691	17170	57266
692	17193	57236
693	17218	57213
694	17241	57182
695	17266	57157
696	17290	57131
697	17314	57104
698	17336	57070
699	17359	57038
700	17383	57010
