iter	MAE
0	0.03639963318
1	0.03537417267
2	0.03439361971
3	0.03346118357
4	0.0325244002
5	0.03159666976
6	0.03074598057
7	0.02983434323
8	0.02900017314
9	0.02819025015
10	0.02743099655
11	0.026667732
12	0.02595034224
13	0.02523402784
14	0.02454815834
15	0.02388252553
16	0.0232505051
17	0.02262151785
18	0.02201212773
19	0.02143188283
20	0.02085044305
21	0.02034325088
22	0.01981170825
23	0.01927578544
24	0.01878257748
25	0.01829963003
26	0.01784516542
27	0.01741520777
28	0.01697834253
29	0.01654949232
30	0.01613514944
31	0.01576990999
32	0.01537750434
33	0.01502311338
34	0.01465443221
35	0.01429284452
36	0.01394243001
37	0.01362540749
38	0.01328737144
39	0.01298880256
40	0.01267394709
41	0.01238020808
42	0.01212326093
43	0.01184919253
44	0.01157986479
45	0.01129909511
46	0.01105393329
47	0.0108143629
48	0.01059179752
49	0.01034203757
50	0.010133979
51	0.00992267112
52	0.009706631233
53	0.009527114922
54	0.009328457882
55	0.009150676929
56	0.00894861841
57	0.008792209349
58	0.008612823441
59	0.008453282711
60	0.008285149071
61	0.008149492533
62	0.00801241784
63	0.007891653824
64	0.007740534193
65	0.007614440984
66	0.007484335496
67	0.007341563404
68	0.007214072572
69	0.007083397233
70	0.006954909882
71	0.006858062505
72	0.006795778
73	0.006702462613
74	0.00658779897
75	0.006487527133
76	0.006438351586
77	0.006337462603
78	0.00624110979
79	0.006151978569
80	0.006061173555
81	0.005973844214
82	0.005899071288
83	0.005848907165
84	0.005777135297
85	0.005703787021
86	0.005630611946
87	0.005562773939
88	0.005496804832
89	0.005433748846
90	0.005372508813
91	0.005311135366
92	0.005259638138
93	0.00520529446
94	0.005167994396
95	0.005117946364
96	0.00507221991
97	0.005022873317
98	0.004975296922
99	0.004930243506
100	0.004895697474
101	0.004858789199
102	0.004831570145
103	0.004797703759
104	0.004774056089
105	0.00473713113
106	0.004701258866
107	0.004681942885
108	0.00464605693
109	0.004628180558
110	0.004594098221
111	0.004571692184
112	0.004546007417
113	0.00451840912
114	0.004495318166
115	0.004465406338
116	0.004439253985
117	0.004424620798
118	0.004403232058
119	0.004377799582
120	0.004355651614
121	0.004336886491
122	0.004320935039
123	0.004300866879
124	0.004282679321
125	0.004273541764
126	0.004262276284
127	0.00425204157
128	0.004242445221
129	0.004236424903
130	0.004222889623
131	0.004208289917
132	0.004200471639
133	0.004195302588
134	0.004192050042
135	0.004179264262
136	0.004173837177
137	0.004169674099
138	0.004164763771
139	0.00416048979
140	0.0041598084
141	0.004152893997
142	0.004142666965
143	0.00413867745
144	0.004135252022
145	0.004131262449
146	0.004125233169
147	0.004121044551
148	0.004118267555
149	0.004108309386
150	0.004104957425
151	0.004104758486
152	0.00410416733
153	0.004098619674
154	0.00409292482
155	0.004088999528
156	0.004084291577
157	0.004082424502
158	0.004077263818
159	0.00407676734
160	0.004071498018
161	0.004066441614
162	0.004061635472
163	0.004051118635
164	0.004049982665
165	0.004042612428
166	0.004042325316
167	0.004033000871
168	0.004025965294
169	0.004025338192
170	0.004024509771
171	0.004024151886
172	0.004023889706
173	0.004022645804
174	0.004021454326
175	0.004016097432
176	0.004015934684
177	0.004009912866
178	0.004009767488
179	0.00400704379
180	0.004005202478
181	0.004004847141
182	0.004002151494
183	0.00400142994
184	0.004001300267
185	0.003997245632
186	0.003993949152
187	0.003993729077
188	0.003993112954
189	0.003992983363
190	0.003992662504
191	0.00399217153
192	0.003992089908
193	0.003990299992
194	0.003987899817
195	0.00398783027
196	0.003987659212
197	0.0039873375
198	0.003987076
199	0.003984456248
200	0.003983661976
201	0.00398283841
202	0.003982781909
203	0.003978889263
204	0.003978210669
205	0.003978117045
206	0.003977245998
207	0.003976760995
208	0.003976550232
209	0.003976103622
210	0.003976007524
211	0.003975825844
212	0.003975800591
213	0.003975692289
214	0.003971626869
215	0.003970574761
216	0.00397040439
217	0.003969150727
218	0.003969115528
219	0.00396827557
220	0.003964983665
221	0.003964234911
222	0.003963076097
223	0.00396232656
224	0.003962043172
225	0.003961986702
226	0.003961598442
227	0.00396124681
228	0.003960694163
229	0.003960347692
230	0.003956221031
231	0.003952018948
232	0.003951933505
233	0.003951910085
234	0.003951318757
235	0.003950971464
236	0.003950908559
237	0.003950569091
238	0.003946927338
239	0.003946607061
240	0.003946080286
241	0.003944403382
242	0.003944268666
243	0.003943482212
244	0.003941084932
245	0.003935984636
246	0.003933819916
247	0.003929281384
248	0.003922593686
249	0.003919242935
250	0.003914232643
251	0.00391025233
252	0.003907916343
253	0.003903138612
254	0.003897472058
255	0.003891207848
256	0.003885819608
257	0.003880963167
258	0.003876018161
259	0.003872131561
260	0.003868605932
261	0.003865859408
262	0.003861281895
263	0.00385779624
264	0.003853868193
265	0.003848934986
266	0.003845314164
267	0.003840875049
268	0.003837018028
269	0.003834356858
270	0.003830889025
271	0.0038271623
272	0.003823909289
273	0.00382090256
274	0.003817907207
275	0.003814628536
276	0.00381210726
277	0.003809311247
278	0.003807689345
279	0.003806074565
280	0.003803843794
281	0.003802278168
282	0.003800815132
283	0.003798163487
284	0.003797106373
285	0.0037949911
286	0.00379369539
287	0.003790886632
288	0.003789380213
289	0.003787996199
290	0.003785923691
291	0.003785291279
292	0.003784874121
293	0.003783346543
294	0.003782819079
295	0.003782444181
296	0.003780727146
297	0.003778568112
298	0.003778141906
299	0.003777948136
300	0.00377712756
301	0.003776788134
302	0.003775941578
303	0.003774660661
304	0.00377315163
305	0.003772399459
306	0.003771790797
307	0.003769449942
308	0.003768742474
309	0.003768453513
310	0.003768188921
311	0.003767158549
312	0.003765642188
313	0.003765453127
314	0.003765144662
315	0.003765051611
316	0.003764935186
317	0.00376468149
318	0.003764023006
319	0.003763677581
320	0.003762504177
321	0.003761193484
322	0.003761014075
323	0.003758943846
324	0.003758429303
325	0.003758154801
326	0.003758039052
327	0.003757886209
328	0.003756651905
329	0.003755837476
330	0.003755412997
331	0.003755250124
332	0.003754992208
333	0.003753576652
334	0.003753001087
335	0.003752337779
336	0.003751862007
337	0.00375086267
338	0.003750511829
339	0.003750110075
340	0.003748827465
341	0.003747827908
342	0.003747495311
343	0.003746724509
344	0.00374658077
345	0.003746433464
346	0.003746267572
347	0.003744418889
348	0.003743989491
349	0.003742985043
350	0.003742575034
351	0.003742076535
352	0.003741724189
353	0.003741232484
354	0.003740639161
355	0.003739729625
356	0.003739244812
357	0.003738857876
358	0.003738515291
359	0.003737158993
360	0.003736977763
361	0.003735961979
362	0.00373539616
363	0.003735221214
364	0.003734208795
365	0.003733524913
366	0.003732053613
367	0.003730701027
368	0.003729534509
369	0.00372934348
370	0.00372832802
371	0.003728023072
372	0.003727522861
373	0.003726780551
374	0.003726305745
375	0.003726027466
376	0.003725177185
377	0.00372488328
378	0.00372463287
379	0.003724527039
380	0.003724250914
381	0.003723403081
382	0.003723253846
383	0.003723111867
384	0.003721589819
385	0.003720960538
386	0.003720408608
387	0.003719868067
388	0.003719381416
389	0.003718728588
390	0.003717775567
391	0.00371731558
392	0.003717150134
393	0.003716808035
394	0.003716398223
395	0.003716301108
396	0.003715969548
397	0.00371480002
398	0.003714719773
399	0.003714111134
400	0.00371386265
401	0.003712786645
402	0.00371207782
403	0.003711756407
404	0.003710909142
405	0.003710368159
406	0.003709586558
407	0.003709459089
408	0.003709444221
409	0.00370908202
410	0.003708872577
411	0.00370877529
412	0.003708735037
413	0.003708661762
414	0.003708237079
415	0.003706859836
416	0.003706012931
417	0.003705936335
418	0.003705488264
419	0.003705446003
420	0.003704947715
421	0.003704503822
422	0.003703039913
423	0.003702267591
424	0.003701423668
425	0.003700802264
426	0.003699784373
427	0.003699187466
428	0.003698344247
429	0.003697853687
430	0.003697301757
431	0.00369594891
432	0.003695612827
433	0.003695548294
434	0.003695300916
435	0.003694982916
436	0.003694609835
437	0.00369385928
438	0.003692525647
439	0.003691280903
440	0.00369031388
441	0.003690204932
442	0.003689928108
443	0.003689352339
444	0.003689250394
445	0.003688015739
446	0.00368762481
447	0.003687332924
448	0.003686271997
449	0.00368595908
450	0.003685494228
451	0.003685330782
452	0.003685260617
453	0.003684334113
454	0.003684121095
455	0.003683864545
456	0.003683732147
457	0.003683524843
458	0.003683411447
459	0.003682697706
460	0.003682195303
461	0.003681565388
462	0.003681327682
463	0.003681310445
464	0.00368083514
465	0.003680420441
466	0.003680369677
467	0.003680001363
468	0.003679973213
469	0.003679927672
470	0.003679736982
471	0.003679679747
472	0.00367965634
473	0.003679136699
474	0.003678951535
475	0.003678477415
476	0.003678299582
477	0.003677976457
478	0.003677298629
479	0.003677083526
480	0.003676761508
481	0.003676256598
482	0.003675374062
483	0.003674812873
484	0.00367439409
485	0.003673922877
486	0.003673557682
487	0.003673289286
488	0.003673013073
489	0.003672651734
490	0.00367257712
491	0.00367254292
492	0.003672438998
493	0.003672398995
494	0.003672342103
495	0.003672303788
496	0.003672235054
497	0.00367221055
498	0.003671781881
499	0.003671711345
500	0.003671530121
501	0.003670999393
502	0.003670962743
503	0.003670716882
504	0.003669826959
505	0.00366909293
506	0.003668527492
507	0.003668104894
508	0.003667930036
509	0.003667209445
510	0.003667150564
511	0.003667038792
512	0.003667009207
513	0.003666961356
514	0.003666913599
515	0.003666213502
516	0.003665940055
517	0.003665674801
518	0.003665406587
519	0.003665374268
520	0.003664873219
521	0.003664642217
522	0.003664598863
523	0.003664403088
524	0.00366429026
525	0.003663181322
526	0.003662136103
527	0.003662118742
528	0.003661391017
529	0.00366068746
530	0.003660099851
531	0.003659963368
532	0.003659924311
533	0.003659831104
534	0.003659748655
535	0.00365955074
536	0.003659366493
537	0.003658819798
538	0.003658645978
539	0.003658567289
540	0.003658362311
541	0.003658186845
542	0.003658127047
543	0.003658003086
544	0.003657943675
545	0.003657661147
546	0.003657339067
547	0.003657111941
548	0.003656770266
549	0.003656247478
550	0.003655642678
551	0.003655305582
552	0.003654887008
553	0.003654587063
554	0.003654188451
555	0.003653997716
556	0.003653336193
557	0.00365265848
558	0.003652411262
559	0.003652056984
560	0.0036518091
561	0.00365156744
562	0.003651383576
563	0.003651012374
564	0.003650691924
565	0.003650264988
566	0.003649926827
567	0.003649508224
568	0.003649301733
569	0.003649270518
570	0.00364925169
571	0.003648860715
572	0.003648634987
573	0.003648437898
574	0.003648141963
575	0.003647812017
576	0.003647117131
577	0.00364706648
578	0.003646830756
579	0.003646388396
580	0.003646220236
581	0.003645981504
582	0.003645774647
583	0.003645583405
584	0.003645570511
585	0.003645552401
586	0.003645527224
587	0.003645511263
588	0.003645503012
589	0.003645336119
590	0.003645260331
591	0.00364522814
592	0.00364516236
593	0.003645099864
594	0.003645041126
595	0.003644966955
596	0.003644729998
597	0.003644660175
598	0.003644607701
599	0.003644582902
600	0.003644504983
601	0.00364446939
602	0.003644001752
603	0.003643675958
604	0.003643567695
605	0.003643425235
606	0.00364329098
607	0.003642918617
608	0.003642738206
609	0.003642591973
610	0.003642577881
611	0.003642568756
612	0.003642560882
613	0.003642558732
614	0.003642556986
615	0.003642555509
616	0.003642546166
617	0.003642539952
618	0.003642530071
619	0.003642526711
620	0.003642517405
621	0.003642152294
622	0.003642120013
623	0.003642115838
624	0.003641940863
625	0.00364152426
626	0.003641272733
627	0.003641250882
628	0.003640777301
629	0.003640419262
630	0.003640262235
631	0.003640261744
632	0.003639591576
633	0.003638790283
634	0.00363865576
